"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 01, 2022","93.74","97.95","98.42","92.44","-","-4.29%"
"Jul 31, 2022","97.94","98.55","98.58","97.60","-","-0.69%"
"Jul 29, 2022","98.62","97.30","101.88","96.41","349.37K","2.28%"
"Jul 28, 2022","96.42","98.17","99.84","96.04","318.40K","-0.86%"
"Jul 27, 2022","97.26","95.60","98.59","94.30","321.90K","2.40%"
"Jul 26, 2022","94.98","96.33","99.00","94.76","310.04K","-1.78%"
"Jul 25, 2022","96.70","95.10","96.94","93.01","279.00K","1.89%"
"Jul 24, 2022","94.91","95.08","95.55","94.71","-","0.22%"
"Jul 22, 2022","94.70","96.51","97.95","94.23","307.57K","-1.71%"
"Jul 21, 2022","96.35","99.91","99.99","94.59","318.91K","-5.78%"
"Jul 20, 2022","102.26","103.60","104.39","101.51","28.96K","-1.88%"
"Jul 19, 2022","104.22","102.00","104.46","99.85","63.15K","1.58%"
"Jul 18, 2022","102.60","97.27","102.80","95.85","84.67K","5.13%"
"Jul 15, 2022","97.59","96.39","99.03","94.57","240.77K","1.89%"
"Jul 14, 2022","95.78","96.57","97.00","90.56","387.53K","-0.54%"
"Jul 13, 2022","96.30","95.89","97.96","93.67","347.19K","0.48%"
"Jul 12, 2022","95.84","103.46","103.49","95.35","398.55K","-7.93%"
"Jul 11, 2022","104.09","104.79","105.05","100.89","348.57K","-0.31%"
"Jul 10, 2022","104.41","104.38","104.62","103.73","-","-0.36%"
"Jul 08, 2022","104.79","102.22","105.24","101.51","-","2.01%"
"Jul 07, 2022","102.73","98.22","104.48","96.57","379.86K","4.26%"
"Jul 06, 2022","98.53","100.36","102.14","95.10","444.11K","-0.97%"
"Jul 05, 2022","99.50","108.80","111.45","97.43","594.22K","-9.87%"
"Jul 04, 2022","110.40","108.17","110.77","107.25","-","2.04%"
"Jul 03, 2022","108.19","108.67","108.81","108.14","-","-0.22%"
"Jul 01, 2022","108.43","106.01","109.34","104.56","305.34K","2.52%"
"Jun 30, 2022","105.76","109.70","110.45","105.10","362.89K","-3.66%"
"Jun 29, 2022","109.78","111.86","114.05","109.22","322.06K","-1.77%"
"Jun 28, 2022","111.76","110.18","112.22","109.62","306.75K","2.00%"
"Jun 27, 2022","109.57","107.22","110.54","105.60","282.91K","1.81%"
"Jun 24, 2022","107.62","103.99","108.58","103.64","321.59K","3.21%"
"Jun 23, 2022","104.27","104.42","107.05","102.32","346.36K","-1.81%"
"Jun 22, 2022","106.19","109.54","109.76","101.53","432.72K","-4.03%"
"Jun 21, 2022","110.65","110.58","112.47","108.72","28.46K","1.66%"
"Jun 20, 2022","108.84","108.97","109.17","106.84","-","-0.09%"
"Jun 19, 2022","108.94","108.97","109.34","108.78","-","-0.57%"
"Jun 17, 2022","109.56","117.08","118.97","108.25","103.15K","-6.83%"
"Jun 16, 2022","117.59","115.98","118.08","112.31","162.54K","1.98%"
"Jun 15, 2022","115.31","119.07","119.61","114.60","301.75K","-3.04%"
